,created_on,property_type,place_name,place_with_parent_names,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,properati_url,barrio,PH,apartment,house,price_m2
10654,2018-01-18,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6341016,-58.37563050000001,138000.0,58.0,93.82046724225495,3.0,https://www.properati.com.ar/1jlru_venta_departamento_barracas_mks-propiedades_6m3,BARRACAS,0.0,1.0,0.0,2379.310344827586
10655,2018-01-18,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.6402139,-58.37955039999999,270000.0,410.0,260.0,5.0,https://www.properati.com.ar/1jlrv_venta_casa_barracas_patio_quincho_terraza_luminoso_garage_placard_mks-propiedades_6m3,BARRACAS,0.0,0.0,1.0,658.5365853658536
10656,2018-01-18,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.628019,-58.370938,220000.0,104.0,104.0,4.0,https://www.properati.com.ar/1jo40_venta_departamento_barracas_baulera_terraza_luminoso_vista_garage_re-max-norte,BARRACAS,0.0,1.0,0.0,2115.3846153846152
10657,2018-01-18,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.63613400000001,-58.378977,180000.0,165.0,165.0,4.0,https://www.properati.com.ar/1johp_venta_casa_barracas_parrilla_patio_terraza_garage_re-max-parque,BARRACAS,0.0,0.0,1.0,1090.909090909091
10658,2018-01-18,PH,Barracas,|Argentina|Capital Federal|Barracas|,-34.650057000000004,-58.382395,160000.0,187.0,87.0,3.0,https://www.properati.com.ar/1joo0_venta_ph_barracas_iriarte-gral-av-_2500_baulera_terraza_luminoso_placard_doble-circulacion_re-max-puerto,BARRACAS,1.0,0.0,0.0,855.6149732620321
10659,2018-01-18,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.653139,-58.387186,95000.0,63.0,63.0,3.0,https://www.properati.com.ar/1jopm_venta_departamento_barracas_terraza_luminoso_re-max-plaza,BARRACAS,0.0,1.0,0.0,1507.936507936508
10660,2018-01-19,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.646281,-58.371017,345000.0,183.0,183.0,5.0,https://www.properati.com.ar/1joyf_venta_departamento_barracas_balcon_baulera_lavadero_terraza_toilette_luminoso_re-max-vanguard,BARRACAS,0.0,1.0,0.0,1885.2459016393443
10661,2018-01-19,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6338636,-58.3756887,190000.0,72.0,67.0,3.0,https://www.properati.com.ar/1jq0y_venta_departamento_barracas_balcon_luminoso_impecable_arkis-inmobiliaria_eoh,BARRACAS,0.0,1.0,0.0,2638.8888888888887
10662,2018-01-19,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.650288700000004,-58.3838355,380000.0,330.0,230.0,3.0,https://www.properati.com.ar/1jq7o_venta_casa_barracas_balcon_lavadero_patio_mattera-propiedades_i7z,BARRACAS,0.0,0.0,1.0,1151.5151515151515
10663,2018-01-19,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.628229,-58.37204499999999,168000.0,79.0,79.0,4.0,https://www.properati.com.ar/1jq9s_venta_departamento_barracas_balcon_lavadero_toilette_placard_aire-acondicionado_mattera-propiedades_i7z,BARRACAS,0.0,1.0,0.0,2126.5822784810125
10664,2018-01-19,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6382728,-58.37223760000001,128000.0,55.0,51.0,2.0,https://www.properati.com.ar/1jr42_venta_departamento_barracas_balcon_luminoso_placard_arkis-inmobiliaria_eoh,BARRACAS,0.0,1.0,0.0,2327.2727272727275
10665,2018-01-19,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6395359,-58.3779297,248000.0,115.0,102.0,4.0,https://www.properati.com.ar/1jsec_venta_departamento_barracas_balcon_luminoso_lujoso_grupo-lamadrid-constructora-inmobiliaria_euz,BARRACAS,0.0,1.0,0.0,2156.521739130435
10666,2018-01-19,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.638922548400004,-58.3746912333,232000.0,100.0,91.0,3.0,https://www.properati.com.ar/1jsev_venta_departamento_barracas_balcon_luminoso_impecable_grupo-lamadrid-constructora-inmobiliaria_euz,BARRACAS,0.0,1.0,0.0,2320.0
10668,2018-01-20,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.640108700000006,-58.3721799,450000.0,211.0,186.0,4.0,https://www.properati.com.ar/1jun1_venta_casa_barracas_balcon_lavadero_patio_quincho_terraza_toilette_luminoso_garage_di-mitrio-inmobiliaria_d2r,BARRACAS,0.0,0.0,1.0,2132.701421800948
10669,2018-01-20,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6436974,-58.3745269,239195.0,109.0,64.0,3.0,https://www.properati.com.ar/1juz7_venta_departamento_barracas_luminoso_garage_estrenar_apto-credito-hipotecario_mym-las-heras,BARRACAS,0.0,1.0,0.0,2194.4495412844035
10670,2018-01-20,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.635158000000004,-58.3754458,280000.0,70.0,93.82046724225495,3.0,https://www.properati.com.ar/1jvd8_venta_departamento_barracas_gimnasio_lavadero_parrilla_piscina_luminoso_vista_sauna_garage_tenis_aire-acondicionado_estudio-a-l,BARRACAS,0.0,1.0,0.0,4000.0
10671,2018-01-23,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.641753,-58.37237800000001,385000.0,223.0,152.0,4.0,https://www.properati.com.ar/1k1ix_venta_casa_barracas_balcon_suite_jardin_parrilla_toilette_luminoso_dependencias_garage_impecable_apto-credito-hipotecario_re-max-premium-ii,BARRACAS,0.0,0.0,1.0,1726.457399103139
10673,2018-01-26,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.642580200000005,-58.374124,270000.0,124.0,111.0,4.0,https://www.properati.com.ar/1k4ao_venta_departamento_barracas_balcon_lavadero_luminoso_dependencias_di-mitrio-inmobiliaria_d2r,BARRACAS,0.0,1.0,0.0,2177.4193548387098
10674,2018-01-28,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.642424,-58.373108,85000.0,42.0,42.0,2.0,https://www.properati.com.ar/1k7hd_venta_departamento_barracas_lavadero_luminoso_re-max-total-v,BARRACAS,0.0,1.0,0.0,2023.8095238095239
10675,2018-01-31,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.65140220000001,-58.3930523,155000.0,77.0,67.0,4.0,https://www.properati.com.ar/1k8wt_venta_departamento_barracas_lavadero_parrilla_patio_terraza_vestidor_di-mitrio-inmobiliaria_d2r,BARRACAS,0.0,1.0,0.0,2012.987012987013
